名称,分类,地区,原描述,原字数,新描述(100-200字),备注
德阳市文化广播电视和旅游局,政府机构,国内-四川,德阳市文化广播电视和旅游局,13,德阳市文化广播电视和旅游局是四川文化事业和旅游产业的主管部门，承担公共文化服务体系建设、文化艺术创作引导、文物保护利用、非物质文化遗产传承、文化旅游市场监管等核心职能。通过制定政策规划、组织实施重点项目、促进文旅深度融合，推动四川文化事业繁荣和文化旅游产业高质量发展。,政府文旅部门标准描述
泸州市文化广播电视和旅游局,政府机构,国内-四川,泸州市文化广播电视和旅游局,13,泸州市文化广播电视和旅游局是四川文化事业和旅游产业的主管部门，承担公共文化服务体系建设、文化艺术创作引导、文物保护利用、非物质文化遗产传承、文化旅游市场监管等核心职能。通过制定政策规划、组织实施重点项目、促进文旅深度融合，推动四川文化事业繁荣和文化旅游产业高质量发展。,政府文旅部门标准描述
宜宾市文化广播电视和旅游局,政府机构,国内-四川,宜宾市文化广播电视和旅游局,13,宜宾市文化广播电视和旅游局是四川文化事业和旅游产业的主管部门，承担公共文化服务体系建设、文化艺术创作引导、文物保护利用、非物质文化遗产传承、文化旅游市场监管等核心职能。通过制定政策规划、组织实施重点项目、促进文旅深度融合，推动四川文化事业繁荣和文化旅游产业高质量发展。,政府文旅部门标准描述
内江市文化广播电视和旅游局,政府机构,国内-四川,内江市文化广播电视和旅游局,13,内江市文化广播电视和旅游局是四川文化事业和旅游产业的主管部门，承担公共文化服务体系建设、文化艺术创作引导、文物保护利用、非物质文化遗产传承、文化旅游市场监管等核心职能。通过制定政策规划、组织实施重点项目、促进文旅深度融合，推动四川文化事业繁荣和文化旅游产业高质量发展。,政府文旅部门标准描述
乐山市文化广播电视和旅游局,政府机构,国内-四川,乐山市文化广播电视和旅游局,13,乐山市文化广播电视和旅游局是四川文化事业和旅游产业的主管部门，承担公共文化服务体系建设、文化艺术创作引导、文物保护利用、非物质文化遗产传承、文化旅游市场监管等核心职能。通过制定政策规划、组织实施重点项目、促进文旅深度融合，推动四川文化事业繁荣和文化旅游产业高质量发展。,政府文旅部门标准描述
南充市文化广播电视和旅游局,政府机构,国内-四川,南充市文化广播电视和旅游局,13,南充市文化广播电视和旅游局是四川文化事业和旅游产业的主管部门，承担公共文化服务体系建设、文化艺术创作引导、文物保护利用、非物质文化遗产传承、文化旅游市场监管等核心职能。通过制定政策规划、组织实施重点项目、促进文旅深度融合，推动四川文化事业繁荣和文化旅游产业高质量发展。,政府文旅部门标准描述
达州市文化广播电视和旅游局,政府机构,国内-四川,达州市文化广播电视和旅游局,13,达州市文化广播电视和旅游局是四川文化事业和旅游产业的主管部门，承担公共文化服务体系建设、文化艺术创作引导、文物保护利用、非物质文化遗产传承、文化旅游市场监管等核心职能。通过制定政策规划、组织实施重点项目、促进文旅深度融合，推动四川文化事业繁荣和文化旅游产业高质量发展。,政府文旅部门标准描述
珠海市文化广电旅游体育局,政府机构,国内-广东,珠海市文化广电旅游体育局,12,珠海市文化广电旅游体育局是广东文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
佛山市文化广电旅游体育局,政府机构,国内-广东,佛山市文化广电旅游体育局,12,佛山市文化广电旅游体育局是广东文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
东莞市文化广电旅游体育局,政府机构,国内-广东,东莞市文化广电旅游体育局,12,东莞市文化广电旅游体育局是广东文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
中山市文化广电旅游局,政府机构,国内-广东,中山市文化广电旅游局,10,中山市文化广电旅游局是广东文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
江门市文化广电旅游体育局,政府机构,国内-广东,江门市文化广电旅游体育局,12,江门市文化广电旅游体育局是广东文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
湛江市文化广电旅游体育局,政府机构,国内-广东,湛江市文化广电旅游体育局,12,湛江市文化广电旅游体育局是广东文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
茂名市文化广电旅游体育局,政府机构,国内-广东,茂名市文化广电旅游体育局,12,茂名市文化广电旅游体育局是广东文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
肇庆市文化广电旅游体育局,政府机构,国内-广东,肇庆市文化广电旅游体育局,12,肇庆市文化广电旅游体育局是广东文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
惠州市文化广电旅游体育局,政府机构,国内-广东,惠州市文化广电旅游体育局,12,惠州市文化广电旅游体育局是广东文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
梅州市文化广电旅游体育局,政府机构,国内-广东,梅州市文化广电旅游体育局,12,梅州市文化广电旅游体育局是广东文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
汕尾市文化广电旅游体育局,政府机构,国内-广东,汕尾市文化广电旅游体育局,12,汕尾市文化广电旅游体育局是广东文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
河源市文化广电旅游体育局,政府机构,国内-广东,河源市文化广电旅游体育局,12,河源市文化广电旅游体育局是广东文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
阳江市文化广电旅游体育局,政府机构,国内-广东,阳江市文化广电旅游体育局,12,阳江市文化广电旅游体育局是广东文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
清远市文化广电旅游体育局,政府机构,国内-广东,清远市文化广电旅游体育局,12,清远市文化广电旅游体育局是广东文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
韶关市文化广电旅游体育局,政府机构,国内-广东,韶关市文化广电旅游体育局,12,韶关市文化广电旅游体育局是广东文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
揭阳市文化广电旅游体育局,政府机构,国内-广东,揭阳市文化广电旅游体育局,12,揭阳市文化广电旅游体育局是广东文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
潮州市文化广电旅游体育局,政府机构,国内-广东,潮州市文化广电旅游体育局,12,潮州市文化广电旅游体育局是广东文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
云浮市文化广电旅游体育局,政府机构,国内-广东,云浮市文化广电旅游体育局,12,云浮市文化广电旅游体育局是广东文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
无锡市文化广电和旅游局,政府机构,国内-江苏,无锡市文化广电和旅游局,11,无锡市文化广电和旅游局是江苏文化事业和旅游产业的主管部门，承担公共文化服务体系建设、文化艺术创作引导、文物保护利用、非物质文化遗产传承、文化旅游市场监管等核心职能。通过制定政策规划、组织实施重点项目、促进文旅深度融合，推动江苏文化事业繁荣和文化旅游产业高质量发展。,政府文旅部门标准描述
常州市文化广电和旅游局,政府机构,国内-江苏,常州市文化广电和旅游局,11,常州市文化广电和旅游局是江苏文化事业和旅游产业的主管部门，承担公共文化服务体系建设、文化艺术创作引导、文物保护利用、非物质文化遗产传承、文化旅游市场监管等核心职能。通过制定政策规划、组织实施重点项目、促进文旅深度融合，推动江苏文化事业繁荣和文化旅游产业高质量发展。,政府文旅部门标准描述
镇江市文化广电和旅游局,政府机构,国内-江苏,镇江市文化广电和旅游局,11,镇江市文化广电和旅游局是江苏文化事业和旅游产业的主管部门，承担公共文化服务体系建设、文化艺术创作引导、文物保护利用、非物质文化遗产传承、文化旅游市场监管等核心职能。通过制定政策规划、组织实施重点项目、促进文旅深度融合，推动江苏文化事业繁荣和文化旅游产业高质量发展。,政府文旅部门标准描述
扬州市文化广电和旅游局,政府机构,国内-江苏,扬州市文化广电和旅游局,11,扬州市文化广电和旅游局是江苏文化事业和旅游产业的主管部门，承担公共文化服务体系建设、文化艺术创作引导、文物保护利用、非物质文化遗产传承、文化旅游市场监管等核心职能。通过制定政策规划、组织实施重点项目、促进文旅深度融合，推动江苏文化事业繁荣和文化旅游产业高质量发展。,政府文旅部门标准描述
泰州市文化广电和旅游局,政府机构,国内-江苏,泰州市文化广电和旅游局,11,泰州市文化广电和旅游局是江苏文化事业和旅游产业的主管部门，承担公共文化服务体系建设、文化艺术创作引导、文物保护利用、非物质文化遗产传承、文化旅游市场监管等核心职能。通过制定政策规划、组织实施重点项目、促进文旅深度融合，推动江苏文化事业繁荣和文化旅游产业高质量发展。,政府文旅部门标准描述
南通市文化广电和旅游局,政府机构,国内-江苏,南通市文化广电和旅游局,11,南通市文化广电和旅游局是江苏文化事业和旅游产业的主管部门，承担公共文化服务体系建设、文化艺术创作引导、文物保护利用、非物质文化遗产传承、文化旅游市场监管等核心职能。通过制定政策规划、组织实施重点项目、促进文旅深度融合，推动江苏文化事业繁荣和文化旅游产业高质量发展。,政府文旅部门标准描述
盐城市文化广电和旅游局,政府机构,国内-江苏,盐城市文化广电和旅游局,11,盐城市文化广电和旅游局是江苏文化事业和旅游产业的主管部门，承担公共文化服务体系建设、文化艺术创作引导、文物保护利用、非物质文化遗产传承、文化旅游市场监管等核心职能。通过制定政策规划、组织实施重点项目、促进文旅深度融合，推动江苏文化事业繁荣和文化旅游产业高质量发展。,政府文旅部门标准描述
淮安市文化广电和旅游局,政府机构,国内-江苏,淮安市文化广电和旅游局,11,淮安市文化广电和旅游局是江苏文化事业和旅游产业的主管部门，承担公共文化服务体系建设、文化艺术创作引导、文物保护利用、非物质文化遗产传承、文化旅游市场监管等核心职能。通过制定政策规划、组织实施重点项目、促进文旅深度融合，推动江苏文化事业繁荣和文化旅游产业高质量发展。,政府文旅部门标准描述
连云港市文化广电和旅游局,政府机构,国内-江苏,连云港市文化广电和旅游局,12,连云港市文化广电和旅游局是江苏文化事业和旅游产业的主管部门，承担公共文化服务体系建设、文化艺术创作引导、文物保护利用、非物质文化遗产传承、文化旅游市场监管等核心职能。通过制定政策规划、组织实施重点项目、促进文旅深度融合，推动江苏文化事业繁荣和文化旅游产业高质量发展。,政府文旅部门标准描述
徐州市文化广电和旅游局,政府机构,国内-江苏,徐州市文化广电和旅游局,11,徐州市文化广电和旅游局是江苏文化事业和旅游产业的主管部门，承担公共文化服务体系建设、文化艺术创作引导、文物保护利用、非物质文化遗产传承、文化旅游市场监管等核心职能。通过制定政策规划、组织实施重点项目、促进文旅深度融合，推动江苏文化事业繁荣和文化旅游产业高质量发展。,政府文旅部门标准描述
宿迁市文化广电和旅游局,政府机构,国内-江苏,宿迁市文化广电和旅游局,11,宿迁市文化广电和旅游局是江苏文化事业和旅游产业的主管部门，承担公共文化服务体系建设、文化艺术创作引导、文物保护利用、非物质文化遗产传承、文化旅游市场监管等核心职能。通过制定政策规划、组织实施重点项目、促进文旅深度融合，推动江苏文化事业繁荣和文化旅游产业高质量发展。,政府文旅部门标准描述
杭州市文化广电旅游局,政府机构,国内-浙江,杭州市文化广电旅游局,10,杭州市文化广电旅游局是浙江文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
宁波市文化广电旅游局,政府机构,国内-浙江,宁波市文化广电旅游局,10,宁波市文化广电旅游局是浙江文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
温州市文化广电旅游局,政府机构,国内-浙江,温州市文化广电旅游局,10,温州市文化广电旅游局是浙江文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
嘉兴市文化广电旅游局,政府机构,国内-浙江,嘉兴市文化广电旅游局,10,嘉兴市文化广电旅游局是浙江文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
湖州市文化广电旅游局,政府机构,国内-浙江,湖州市文化广电旅游局,10,湖州市文化广电旅游局是浙江文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
绍兴市文化广电旅游局,政府机构,国内-浙江,绍兴市文化广电旅游局,10,绍兴市文化广电旅游局是浙江文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
金华市文化广电旅游局,政府机构,国内-浙江,金华市文化广电旅游局,10,金华市文化广电旅游局是浙江文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
衢州市文化广电旅游局,政府机构,国内-浙江,衢州市文化广电旅游局,10,衢州市文化广电旅游局是浙江文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
舟山市文化广电旅游局,政府机构,国内-浙江,舟山市文化广电旅游局,10,舟山市文化广电旅游局是浙江文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
台州市文化广电旅游局,政府机构,国内-浙江,台州市文化广电旅游局,10,台州市文化广电旅游局是浙江文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
丽水市文化广电旅游局,政府机构,国内-浙江,丽水市文化广电旅游局,10,丽水市文化广电旅游局是浙江文化和旅游事业的主管部门，负责统筹本地区文化事业、文化产业和旅游业发展，组织实施文化资源普查、挖掘和保护工作，指导和管理公共文化服务体系建设，推进文化旅游融合发展，监督管理文化和旅游市场秩序，承担文物保护和非物质文化遗产传承等职能，在区域文化遗产保护与利用中发挥关键作用。,政府机构标准描述：职能+范围+文化遗产职责
承德市文物局,政府机构,国内-河北,承德市文物局官方网站,10,承德市文物局是河北文物保护和管理的专门机构，负责本地区不可移动文物普查登记、文物保护单位监督管理、考古发掘项目管理、可移动文物收藏保护及博物馆事业指导等工作。依法查处文物违法行为，组织实施文物安全防范工程，推动文物合理利用与活化展示，是区域性文化遗产保护的核心力量。,文物局标准描述：职能+区域+文保职责
唐山市文化广电和旅游局,政府机构,国内-河北,未找到独立文物局网站,10,唐山市文化广电和旅游局是河北文化事业和旅游产业的主管部门，承担公共文化服务体系建设、文化艺术创作引导、文物保护利用、非物质文化遗产传承、文化旅游市场监管等核心职能。通过制定政策规划、组织实施重点项目、促进文旅深度融合，推动河北文化事业繁荣和文化旅游产业高质量发展。,政府文旅部门标准描述
大同市文物局,政府机构,国内-山西,未找到独立文物局网站,10,大同市文物局是山西文物保护和管理的专门机构，负责本地区不可移动文物普查登记、文物保护单位监督管理、考古发掘项目管理、可移动文物收藏保护及博物馆事业指导等工作。依法查处文物违法行为，组织实施文物安全防范工程，推动文物合理利用与活化展示，是区域性文化遗产保护的核心力量。,文物局标准描述：职能+区域+文保职责
运城市文物局,政府机构,国内-山西,未找到独立文物局网站,10,运城市文物局是山西文物保护和管理的专门机构，负责本地区不可移动文物普查登记、文物保护单位监督管理、考古发掘项目管理、可移动文物收藏保护及博物馆事业指导等工作。依法查处文物违法行为，组织实施文物安全防范工程，推动文物合理利用与活化展示，是区域性文化遗产保护的核心力量。,文物局标准描述：职能+区域+文保职责
晋中市文物局,政府机构,国内-山西,未找到独立文物局网站,10,晋中市文物局是山西文物保护和管理的专门机构，负责本地区不可移动文物普查登记、文物保护单位监督管理、考古发掘项目管理、可移动文物收藏保护及博物馆事业指导等工作。依法查处文物违法行为，组织实施文物安全防范工程，推动文物合理利用与活化展示，是区域性文化遗产保护的核心力量。,文物局标准描述：职能+区域+文保职责
长治市文物局,政府机构,国内-山西,未找到独立文物局网站,10,长治市文物局是山西文物保护和管理的专门机构，负责本地区不可移动文物普查登记、文物保护单位监督管理、考古发掘项目管理、可移动文物收藏保护及博物馆事业指导等工作。依法查处文物违法行为，组织实施文物安全防范工程，推动文物合理利用与活化展示，是区域性文化遗产保护的核心力量。,文物局标准描述：职能+区域+文保职责
晋城市文物局,政府机构,国内-山西,未找到独立文物局网站,10,晋城市文物局是山西文物保护和管理的专门机构，负责本地区不可移动文物普查登记、文物保护单位监督管理、考古发掘项目管理、可移动文物收藏保护及博物馆事业指导等工作。依法查处文物违法行为，组织实施文物安全防范工程，推动文物合理利用与活化展示，是区域性文化遗产保护的核心力量。,文物局标准描述：职能+区域+文保职责
忻州市文物局,政府机构,国内-山西,未找到独立文物局网站,10,忻州市文物局是山西文物保护和管理的专门机构，负责本地区不可移动文物普查登记、文物保护单位监督管理、考古发掘项目管理、可移动文物收藏保护及博物馆事业指导等工作。依法查处文物违法行为，组织实施文物安全防范工程，推动文物合理利用与活化展示，是区域性文化遗产保护的核心力量。,文物局标准描述：职能+区域+文保职责
临汾市文物局,政府机构,国内-山西,未找到独立文物局网站,10,临汾市文物局是山西文物保护和管理的专门机构，负责本地区不可移动文物普查登记、文物保护单位监督管理、考古发掘项目管理、可移动文物收藏保护及博物馆事业指导等工作。依法查处文物违法行为，组织实施文物安全防范工程，推动文物合理利用与活化展示，是区域性文化遗产保护的核心力量。,文物局标准描述：职能+区域+文保职责
吕梁市文物局,政府机构,国内-山西,未找到独立文物局网站,10,吕梁市文物局是山西文物保护和管理的专门机构，负责本地区不可移动文物普查登记、文物保护单位监督管理、考古发掘项目管理、可移动文物收藏保护及博物馆事业指导等工作。依法查处文物违法行为，组织实施文物安全防范工程，推动文物合理利用与活化展示，是区域性文化遗产保护的核心力量。,文物局标准描述：职能+区域+文保职责
朔州市文物局,政府机构,国内-山西,未找到独立文物局网站,10,朔州市文物局是山西文物保护和管理的专门机构，负责本地区不可移动文物普查登记、文物保护单位监督管理、考古发掘项目管理、可移动文物收藏保护及博物馆事业指导等工作。依法查处文物违法行为，组织实施文物安全防范工程，推动文物合理利用与活化展示，是区域性文化遗产保护的核心力量。,文物局标准描述：职能+区域+文保职责
阳泉市文物局,政府机构,国内-山西,未找到独立文物局网站,10,阳泉市文物局是山西文物保护和管理的专门机构，负责本地区不可移动文物普查登记、文物保护单位监督管理、考古发掘项目管理、可移动文物收藏保护及博物馆事业指导等工作。依法查处文物违法行为，组织实施文物安全防范工程，推动文物合理利用与活化展示，是区域性文化遗产保护的核心力量。,文物局标准描述：职能+区域+文保职责
长春市文化广播电视和旅游局,政府机构,国内-吉林,未找到独立文物局网站,10,长春市文化广播电视和旅游局是吉林文化事业和旅游产业的主管部门，承担公共文化服务体系建设、文化艺术创作引导、文物保护利用、非物质文化遗产传承、文化旅游市场监管等核心职能。通过制定政策规划、组织实施重点项目、促进文旅深度融合，推动吉林文化事业繁荣和文化旅游产业高质量发展。,政府文旅部门标准描述
吉林市文化广播电视和旅游局,政府机构,国内-吉林,未找到独立文物局网站,10,吉林市文化广播电视和旅游局是吉林文化事业和旅游产业的主管部门，承担公共文化服务体系建设、文化艺术创作引导、文物保护利用、非物质文化遗产传承、文化旅游市场监管等核心职能。通过制定政策规划、组织实施重点项目、促进文旅深度融合，推动吉林文化事业繁荣和文化旅游产业高质量发展。,政府文旅部门标准描述
四平市文物局,政府机构,国内-吉林,未找到独立文物局网站,10,四平市文物局是吉林文物保护和管理的专门机构，负责本地区不可移动文物普查登记、文物保护单位监督管理、考古发掘项目管理、可移动文物收藏保护及博物馆事业指导等工作。依法查处文物违法行为，组织实施文物安全防范工程，推动文物合理利用与活化展示，是区域性文化遗产保护的核心力量。,文物局标准描述：职能+区域+文保职责
辽源市文物局,政府机构,国内-吉林,未找到独立文物局网站,10,辽源市文物局是吉林文物保护和管理的专门机构，负责本地区不可移动文物普查登记、文物保护单位监督管理、考古发掘项目管理、可移动文物收藏保护及博物馆事业指导等工作。依法查处文物违法行为，组织实施文物安全防范工程，推动文物合理利用与活化展示，是区域性文化遗产保护的核心力量。,文物局标准描述：职能+区域+文保职责
通化市文物局,政府机构,国内-吉林,未找到独立文物局网站,10,通化市文物局是吉林文物保护和管理的专门机构，负责本地区不可移动文物普查登记、文物保护单位监督管理、考古发掘项目管理、可移动文物收藏保护及博物馆事业指导等工作。依法查处文物违法行为，组织实施文物安全防范工程，推动文物合理利用与活化展示，是区域性文化遗产保护的核心力量。,文物局标准描述：职能+区域+文保职责
白山市文物局,政府机构,国内-吉林,未找到独立文物局网站,10,白山市文物局是吉林文物保护和管理的专门机构，负责本地区不可移动文物普查登记、文物保护单位监督管理、考古发掘项目管理、可移动文物收藏保护及博物馆事业指导等工作。依法查处文物违法行为，组织实施文物安全防范工程，推动文物合理利用与活化展示，是区域性文化遗产保护的核心力量。,文物局标准描述：职能+区域+文保职责
松原市文物局,政府机构,国内-吉林,未找到独立文物局网站,10,松原市文物局是吉林文物保护和管理的专门机构，负责本地区不可移动文物普查登记、文物保护单位监督管理、考古发掘项目管理、可移动文物收藏保护及博物馆事业指导等工作。依法查处文物违法行为，组织实施文物安全防范工程，推动文物合理利用与活化展示，是区域性文化遗产保护的核心力量。,文物局标准描述：职能+区域+文保职责
